"p1","id1","score1","p2","id2","score2","completed","tournament","first_to"
"D4C",707867,0,"Guizo",971399,2,1544892553,"Koopa Armada",2
"Fakinha",847974,2,"Gotelho",977744,0,1544892585,"Koopa Armada",2
"Blaze",539744,1,"Thales",982876,2,1544893041,"Koopa Armada",2
"Mr. Z",981324,0,"Leso",209976,2,1544893052,"Koopa Armada",2
"MICK",981066,2,"PokaTranca",970714,0,1544893061,"Koopa Armada",2
"Celly",982850,0,"IzZI127",932613,2,1544893084,"Koopa Armada",2
"Sully",982853,2,"Neoob",982840,1,1544893090,"Koopa Armada",2
"BrianGun",945338,2,"Aisengobay",40335,0,1544893096,"Koopa Armada",2
"Drei",982890,0,"Dr. Lemos",173825,2,1544893215,"Koopa Armada",2
"chapeudopresto",951049,2,"Linus",982915,0,1544893336,"Koopa Armada",2
"Quantumleaper NEO",172332,2,"LukeThomaz",424323,0,1544893391,"Koopa Armada",2
"Maycky",491163,2,"Renault",982878,1,1544893537,"Koopa Armada",2
"Jayache",982870,0,"Sabino",953008,2,1544893568,"Koopa Armada",2
"Owlogy",949477,0,"Daftmind",982956,2,1544893584,"Koopa Armada",2
"Burtão",172170,2,"Frostfire",397074,1,1544893667,"Koopa Armada",2
"Afro",37319,2,"Ozzy",983673,0,1544893791,"Koopa Armada",2
"GodUsopp",496351,0,"Maleson",964809,2,1544893874,"Koopa Armada",2
"Luma",792862,2,"Mini Roc",981344,0,1544893896,"Koopa Armada",2
"Vyse",557753,2,"IzZI127",932613,0,1544893995,"Koopa Armada",2
"Dethnerv",707890,2,"Artch",780410,1,1544894027,"Koopa Armada",2
"FullMoon",172734,2,"TROVS",982873,0,1544894982,"Koopa Armada",2
"Roc~",547836,2,"MICK",981066,0,1544895017,"Koopa Armada",2
"Patraozin",945342,0,"MiniGoku",944386,2,1544895070,"Koopa Armada",2
"Zord",172333,0,"Maleson",964809,2,1544895097,"Koopa Armada",2
"Miguelindo",982869,0,"Guizo",971399,2,1544895197,"Koopa Armada",2
"Cyber Twilight",172466,2,"Afro",37319,1,1544895274,"Koopa Armada",2
"Quantumleaper NEO",172332,0,"Fakinha",847974,2,1544895347,"Koopa Armada",2
"Messias",632774,1,"Sully",982853,2,1544895543,"Koopa Armada",2
"KD",850454,0,"Abaca",780369,2,1544895642,"Koopa Armada",2
"Prolo",21068,2,"Calvao",982960,0,1544895693,"Koopa Armada",2
"Roboto",557806,2,"chapeudopresto",951049,0,1544896032,"Koopa Armada",2
"Danny",982983,0,"Monado",944232,2,1544896046,"Koopa Armada",2
"RoD",172230,2,"Gim",143935,0,1544896066,"Koopa Armada",2
"Zombie Hunter",982916,0,"Korn",495453,2,1544896263,"Koopa Armada",2
"Sonic Orochi",37820,2,"Pete",543371,0,1544896322,"Koopa Armada",2
"Leso",209976,2,"Moonflair",982877,0,1544896489,"Koopa Armada",2
"BeBop",69497,2,"Daftmind",982956,0,1544896601,"Koopa Armada",2
"gamer girl",547786,2,"Thiago Neoob",982841,0,1544897224,"Koopa Armada",2
"RitsuoFox",469732,2,"Prolo",21068,1,1544897261,"Koopa Armada",2
"Ultimate",795203,2,"Maycky",491163,0,1544897297,"Koopa Armada",2
"donotc0ntinue",947229,2,"Pe de Moleque",982849,1,1544897374,"Koopa Armada",2
"Luij",495529,0,"Dethnerv",707890,2,1544897413,"Koopa Armada",2
"Elias",229014,2,"Burtão",172170,1,1544897498,"Koopa Armada",2
"Sahione Advogados",982957,0,"SKPeter",175453,2,1544897610,"Koopa Armada",2
"Floko",558693,2,"Kanto",960056,0,1544898084,"Koopa Armada",2
"Neptune",982872,0,"RoD",172230,2,1544898256,"Koopa Armada",2
"Afro",37319,2,"Mr. Z",981324,0,1544898331,"Koopa Armada",2
"BeBop",69497,2,"Korn",495453,0,1544898414,"Koopa Armada",2
"Jab Air",172682,1,"Sabino",953008,2,1544898728,"Koopa Armada",2
"Cyber Twilight",172466,2,"BrianGun",945338,1,1544898848,"Koopa Armada",2
"Blaze",539744,0,"Afro",37319,2,1544898920,"Koopa Armada",2
"BrunoLana",945044,1,"MiniGoku",944386,2,1544899025,"Koopa Armada",2
"chapeudopresto",951049,2,"D4C",707867,0,1544899094,"Koopa Armada",2
"Moonflair",982877,2,"Ozzy",983673,1,1544899215,"Koopa Armada",2
"gamer girl",547786,2,"SKPeter",175453,0,1544899420,"Koopa Armada",2
"Roboto",557806,0,"Dr. Lemos",173825,2,1544899494,"Koopa Armada",2
"Vyse",557753,2,"Sully",982853,0,1544899559,"Koopa Armada",2
"Sosser",557695,2,"Abaca",780369,0,1544899644,"Koopa Armada",2
"Quantumleaper NEO",172332,2,"TROVS",982873,0,1544899680,"Koopa Armada",2
"Floko",558693,2,"Guizo",971399,0,1544899859,"Koopa Armada",2
"Maleson",964809,2,"RoD",172230,0,1544899944,"Koopa Armada",2
"Luffy",157946,2,"Thales",982876,0,1544899986,"Koopa Armada",2
"Roc~",547836,2,"Lorenzo",40460,0,1544900022,"Koopa Armada",2
"Burtão",172170,2,"Gim",143935,0,1544900122,"Koopa Armada",2
"GodUsopp",496351,0,"Burtão",172170,2,1544900132,"Koopa Armada",2
"Zombie Hunter",982916,0,"Daftmind",982956,2,1544900367,"Koopa Armada",2
"Neptune",982872,2,"Frostfire",397074,0,1544900386,"Koopa Armada",2
"Miguelindo",982869,2,"Linus",982915,0,1544900447,"Koopa Armada",2
"RitsuoFox",469732,2,"Monado",944232,0,1544900594,"Koopa Armada",2
"Ultimate",795203,2,"Festa",234851,0,1544900610,"Koopa Armada",2
"Owlogy",949477,0,"Maycky",491163,2,1544900801,"Koopa Armada",2
"Jab Air",172682,2,"Patraozin",945342,0,1544900838,"Koopa Armada",2
"Celly",982850,0,"MICK",981066,2,1544900870,"Koopa Armada",2
"BrunoLana",945044,2,"Jayache",982870,0,1544900928,"Koopa Armada",2
"Sahione Advogados",982957,2,"Gotelho",977744,0,1544901063,"Koopa Armada",2
"Luij",495529,2,"Calvao",982960,0,1544901102,"Koopa Armada",2
"RoD",172230,2,"Daftmind",982956,0,1544901131,"Koopa Armada",2
"Luffy",157946,2,"Leso",209976,0,1544901218,"Koopa Armada",2
"Dr. Lemos",173825,0,"gamer girl",547786,2,1544901350,"Koopa Armada",2
"FullMoon",172734,1,"Fakinha",847974,2,1544901372,"Koopa Armada",2
"Elias",229014,2,"donotc0ntinue",947229,0,1544901572,"Koopa Armada",2
"Sabino",953008,2,"Luma",792862,0,1544901657,"Koopa Armada",2
"Prolo",21068,2,"Artch",780410,0,1544901686,"Koopa Armada",2
"Guizo",971399,0,"Sahione Advogados",982957,2,1544901737,"Koopa Armada",2
"Neptune",982872,0,"Zord",172333,2,1544901885,"Koopa Armada",2
"Sonic Orochi",37820,2,"Dethnerv",707890,0,1544902019,"Koopa Armada",2
"Roboto",557806,2,"Quantumleaper NEO",172332,0,1544902162,"Koopa Armada",2
"Kanto",960056,0,"Drei",982890,2,1544902179,"Koopa Armada",2
"Moonflair",982877,2,"Thales",982876,0,1544902240,"Koopa Armada",2
"Sosser",557695,2,"MiniGoku",944386,0,1544902272,"Koopa Armada",2
"Vyse",557753,0,"Cyber Twilight",172466,2,1544902560,"Koopa Armada",2
"BrianGun",945338,2,"MICK",981066,0,1544902570,"Koopa Armada",2
"Korn",495453,0,"Zord",172333,2,1544902661,"Koopa Armada",2
"Lorenzo",40460,0,"Afro",37319,2,1544902851,"Koopa Armada",2
"FullMoon",172734,2,"chapeudopresto",951049,0,1544902876,"Koopa Armada",2
"Abaca",780369,2,"Mini Roc",981344,0,1544903087,"Koopa Armada",2
"Messias",632774,2,"PokaTranca",970714,1,1544903134,"Koopa Armada",2
"Ultimate",795203,2,"Maleson",964809,1,1544903408,"Koopa Armada",2
"Sonic Orochi",37820,0,"Sosser",557695,2,1544903544,"Koopa Armada",2
"Miguelindo",982869,1,"Drei",982890,2,1544903609,"Koopa Armada",2
"KD",850454,1,"Jab Air",172682,2,1544903632,"Koopa Armada",2
"Luij",495529,0,"Pete",543371,2,1544903739,"Koopa Armada",2
"Sahione Advogados",982957,2,"FullMoon",172734,1,1544903880,"Koopa Armada",2
"donotc0ntinue",947229,0,"Maycky",491163,2,1544903964,"Koopa Armada",2
"MiniGoku",944386,2,"Prolo",21068,0,1544904010,"Koopa Armada",2
"Elias",229014,0,"BeBop",69497,2,1544904060,"Koopa Armada",2
"Messias",632774,0,"IzZI127",932613,2,1544904147,"Koopa Armada",2
"Festa",234851,0,"Burtão",172170,2,1544904205,"Koopa Armada",2
"Luma",792862,2,"Pete",543371,0,1544904263,"Koopa Armada",2
"Sully",982853,0,"Moonflair",982877,2,1544904379,"Koopa Armada",2
"Dethnerv",707890,0,"Jab Air",172682,2,1544904482,"Koopa Armada",2
"BrunoLana",945044,1,"Abaca",780369,2,1544904556,"Koopa Armada",2
"Luffy",157946,2,"Roc~",547836,0,1544904647,"Koopa Armada",2
"Dr. Lemos",173825,0,"Sahione Advogados",982957,2,1544904663,"Koopa Armada",2
"Leso",209976,1,"IzZI127",932613,2,1544904904,"Koopa Armada",2
"Zord",172333,2,"Maycky",491163,1,1544904948,"Koopa Armada",2
"MiniGoku",944386,1,"Jab Air",172682,2,1544905226,"Koopa Armada",2
"BrianGun",945338,2,"Moonflair",982877,1,1544905419,"Koopa Armada",2
"RoD",172230,1,"Burtão",172170,2,1544905426,"Koopa Armada",2
"Fakinha",847974,0,"Floko",558693,2,1544905513,"Koopa Armada",2
"SKPeter",175453,2,"Drei",982890,0,1544905521,"Koopa Armada",2
"Maleson",964809,2,"Zord",172333,0,1544905542,"Koopa Armada",2
"Sabino",953008,2,"RitsuoFox",469732,0,1544905628,"Koopa Armada",2
"Roc~",547836,2,"BrianGun",945338,0,1544906336,"Koopa Armada",2
"Monado",944232,0,"Abaca",780369,2,1544906448,"Koopa Armada",2
"RitsuoFox",469732,0,"Jab Air",172682,2,1544906449,"Koopa Armada",2
"SKPeter",175453,0,"Roboto",557806,2,1544906946,"Koopa Armada",2
"Elias",229014,2,"Burtão",172170,0,1544907322,"Koopa Armada",2
"Fakinha",847974,0,"Roboto",557806,2,1544907498,"Koopa Armada",2
"Abaca",780369,2,"Luma",792862,0,1544907676,"Koopa Armada",2
"Afro",37319,2,"IzZI127",932613,0,1544908275,"Koopa Armada",2
"Sonic Orochi",37820,0,"Abaca",780369,2,1544908532,"Koopa Armada",2
"Vyse",557753,0,"Afro",37319,2,1544908998,"Koopa Armada",2
"Elias",229014,0,"Roboto",557806,3,1544979289,"Koopa Armada",3
"Ultimate",795203,3,"BeBop",69497,0,1544979374,"Koopa Armada",3
"Abaca",780369,3,"Roc~",547836,0,1544979870,"Koopa Armada",3
"Sabino",953008,0,"Sosser",557695,3,1544980355,"Koopa Armada",3
"Afro",37319,3,"Jab Air",172682,2,1544981295,"Koopa Armada",3
"Floko",558693,0,"gamer girl",547786,3,1544981614,"Koopa Armada",3
"Sabino",953008,2,"Maleson",964809,3,1544981931,"Koopa Armada",3
"BeBop",69497,3,"Afro",37319,0,1544982332,"Koopa Armada",3
"Luffy",157946,3,"Cyber Twilight",172466,0,1544982676,"Koopa Armada",3
"Floko",558693,1,"Abaca",780369,3,1544983378,"Koopa Armada",3
"gamer girl",547786,3,"Ultimate",795203,0,1544983506,"Koopa Armada",3
"Luffy",157946,3,"Sosser",557695,0,1544984488,"Koopa Armada",3
"Cyber Twilight",172466,3,"Roboto",557806,2,1544984532,"Koopa Armada",3
"Maleson",964809,3,"Cyber Twilight",172466,0,1544985683,"Koopa Armada",3
"BeBop",69497,3,"Abaca",780369,2,1544985686,"Koopa Armada",3
"Sosser",557695,3,"BeBop",69497,2,1544987148,"Koopa Armada",3
